date,portfolio_value,returns,drawdown
2023-01-03,1014284.6884312845,,0.0
2023-01-04,1015295.4366972905,0.000996513382814923,0.0
2023-01-05,1014208.1120607317,-0.0010709440791891733,-0.0010709440791891929
2023-01-06,983715.386350327,-0.030065550992732337,-0.031104296548098268
2023-01-09,1016918.87070933,0.033753141223286987,0.0
2023-01-10,1006642.3068248362,-0.01010558873524059,-0.010105588735240582
2023-01-11,1019599.0436786741,0.01287124211449675,0.0
2023-01-12,1021329.7145221321,0.0016974033608483374,0.0
2023-01-13,1033643.1799506828,0.012056307824463985,0.0
2023-01-16,1021237.8079211465,-0.012001600039704408,-0.01200160003970439
2023-01-17,1034822.4111882271,0.013302095909212053,0.0
2023-01-18,1038375.5846945168,0.003433607030417729,0.0
2023-01-19,1033199.0519577996,-0.004985221930309702,-0.004985221930309695
2023-01-20,1030135.9971356918,-0.002964631855114086,-0.007935074437684382
2023-01-23,1046002.5612889202,0.015402397544931556,0.0
2023-01-24,1052557.5434771979,0.0062666980281580464,0.0
2023-01-25,1050551.2276123948,-0.0019061341370231188,-0.0019061341370230753
2023-01-27,1044823.3300513758,-0.005452278204497452,-0.007348019567910342
2023-01-30,1051745.789080372,0.00662548282555675,-0.000771220919802739
2023-01-31,1028788.2081449971,-0.021828070217850493,-0.022582456873262317
2023-02-01,1043996.3202057291,0.01478254896423592,-0.008133734183488122
2023-02-02,1059939.4607295103,0.015271261224981458,0.0
2023-02-03,1066647.5956588932,0.006328790631840553,0.0
2023-02-06,1059801.6382188378,-0.0064181998514950545,-0.006418199851495032
2023-02-07,1063661.1172073383,0.003641699398565734,-0.0027998736074683396
2023-02-08,1078225.9578427828,0.013693121239295447,0.0
2023-02-09,1084581.7965986563,0.005894718736497273,0.0
2023-02-10,1083570.9735510384,-0.0009319933736560149,-0.0009319933736560449
2023-02-13,1066678.1813381473,-0.01558992684856697,-0.016507390513704347
2023-02-14,1072099.8481985675,0.005082757813250405,-0.011508535768563794
2023-02-15,1078394.3660327096,0.005871204855329992,-0.005704899884315835
2023-02-16,1089850.2359363595,0.010623080261254358,0.0
2023-02-17,1072421.4091295993,-0.015991946629057674,-0.01599194662905766
2023-02-20,1068179.1230699474,-0.003955801351536947,-0.01988448701650564
2023-02-21,1057060.2191093739,-0.010409212949807234,-0.030086718106560443
2023-02-22,1041913.4279703735,-0.014329165798862675,-0.04398476633333057
2023-02-23,1045665.6701274555,0.0036012993559275674,-0.04054186928806988
2023-02-24,1041576.462027297,-0.003910626710791898,-0.04429395188191838
2023-02-27,1020563.9508166051,-0.020173757738144005,-0.06357413416553159
2023-02-28,1014744.1466546004,-0.00570253746210414,-0.06891413774593598
2023-03-01,1037058.456164688,0.021990084479573735,-0.048439480977232385
2023-03-02,1017378.3289326458,-0.018976873593822607,-0.06649712466359971
2023-03-03,1023718.8374580864,0.006232203247431567,-0.060679345012441446
2023-03-06,1032816.1701050359,0.008886553918982631,-0.05233202136468047
2023-03-08,1038498.0769747561,0.005501372881431932,-0.04711854644641474
2023-03-09,1022095.4782276588,-0.01579453935521924,-0.062168870065425375
2023-03-10,1020303.561244081,-0.0017531796409910871,-0.06381305650911433
2023-03-13,1005279.2623853203,-0.014725322374099403,-0.07759871105444038
2023-03-14,984756.7950771985,-0.020414692788376154,-0.0964292499958662
2023-03-15,979840.5771313932,-0.004992316854660395,-0.10094016148049
2023-03-16,975582.9608413082,-0.00434521328209303,-0.10484676823222137
2023-03-17,973837.0345490292,-0.0017896236018446476,-0.10644875558306045
2023-03-20,962810.0371894414,-0.01132324708178123,-0.11656665710382659
2023-03-21,951415.488207523,-0.011834680302233225,-0.12702180828533602
2023-03-22,958981.2186618068,0.007952078296032061,-0.12007981735409255
2023-03-23,957097.3950772434,-0.001964400916205755,-0.12180833336707007
2023-03-24,955826.2572387136,-0.0013281175406681944,-0.12297467512359388
2023-03-27,956377.6220630152,0.0005768462836484023,-0.12246876632427342
2023-03-28,954417.2221078993,-0.0020498178856246385,-0.12426754554225622
2023-03-29,961462.2481987469,0.007381495144532568,-0.11780333068176684
2023-03-31,981984.7155068686,0.021345057849717408,-0.09897279174034113
2023-04-03,980177.5430744698,-0.0018403264367164995,-0.10063097593190219
2023-04-05,992368.5162227808,0.012437515258789,-0.08944505997177306
2023-04-06,986518.0515999104,-0.005895455697384366,-0.09481319628074393
2023-04-10,999597.2807339879,0.013257972434326915,-0.0828122545891175
2023-04-11,984404.5736853008,-0.015198827909507107,-0.09675243329232633
2023-04-12,992935.1364959037,0.008665708224685709,-0.08892515342458028
2023-04-13,976762.2668604645,-0.016287941720457,-0.10376468742857498
2023-04-17,912602.1603515844,-0.06568651214906696,-0.16263525917622065
2023-04-18,910058.6760696681,-0.00278706800445927,-0.16496905165343292
2023-04-19,898097.0612338143,-0.01314378418709572,-0.1759445182280461
2023-04-20,902515.4425928497,0.004919714749946236,-0.17189040031959857
2023-04-21,918808.2903865617,0.018052708047747057,-0.1569407794850316
2023-04-24,922863.3168481804,0.0044133542372726264,-0.15322006050190012
2023-04-25,923212.1233561496,0.0003779611797340987,-0.15290001055699223
2023-04-26,929650.7437512708,0.006974150612012009,-0.14699220764718296
2023-04-27,926685.7819819018,-0.003189328669178426,-0.14971272985436637
2023-04-28,935784.2028067646,0.009818237208090164,-0.14136440774105716
2023-05-02,935827.7770073533,4.656436864181046e-05,-0.14132442591681027
2023-05-03,924345.762248988,-0.0122693673349632,-0.15185983195679734
2023-05-04,936205.6802942171,0.012830607906259228,-0.1409776780110862
2023-05-05,939112.51947355,0.0031049151276452136,-0.13831048660855785
2023-05-08,944897.1720210746,0.006159701236617909,-0.13300273664733994
2023-05-09,954387.9735544954,0.010044269169650066,-0.12429438276487585
2023-05-10,955419.9156567092,0.0010812605887839943,-0.12334751679358279
2023-05-11,954068.1928576673,-0.0014147944551823333,-0.12458779986594506
2023-05-12,951786.366682543,-0.0023916803769442607,-0.1266815060467433
2023-05-15,946190.701262327,-0.005879119113378017,-0.13181584949661038
2023-05-16,947091.7788272683,0.0009523213066235936,-0.13098905923201307
2023-05-17,932717.4732790175,-0.015177310023796964,-0.14417830769412027
2023-05-18,930144.9631859598,-0.0027580807337229674,-0.1465387330151713
2023-05-19,936830.6932984258,0.007187836710490503,-0.140404192789356
2023-05-22,958879.0258930144,0.02353502372660321,-0.12017358507136482
2023-05-23,958399.4258155258,-0.0005001674502598252,-0.12061364560599096
