date,portfolio_value,returns,drawdown
2023-01-03,1005532.4336640358,,0.0
2023-01-04,987560.660035631,-0.01787289303331352,-0.0178728930333135
2023-01-05,981212.1932409006,-0.006428432248912541,-0.024186430600269315
2023-01-06,977961.3631372679,-0.0033130755264010325,-0.02741937465537765
2023-01-09,979862.8033676328,0.001944289725583026,-0.025528396138219035
2023-01-10,961952.3520289966,-0.018278529685054723,-0.0433403042766495
2023-01-11,975814.5588732386,0.0144104921777084,-0.02955436721469925
2023-01-12,981028.2263715953,0.005342887591651468,-0.024369385284918325
2023-01-13,981794.9421801772,0.0007815430667246215,-0.023606887942303433
2023-01-16,972379.68702571,-0.009589838722900312,-0.032970340417087525
2023-01-17,986855.2665168176,0.014886756360969589,-0.018574405481045348
2023-01-18,1004275.0646627159,0.017651826703405815,-0.001250450964309692
2023-01-19,1008445.9537366469,0.004153134156857474,0.0
2023-01-20,1018781.2678614124,0.010248753625783813,0.0
2023-01-23,1026233.7604957463,0.007315105675213207,0.0
2023-01-24,1039973.3227604516,0.01338833586810484,0.0
2023-01-25,1011236.8292297212,-0.027631952572065743,-0.027631952572065695
2023-01-27,991087.5527551078,-0.019925378400192928,-0.047006753861324024
2023-01-30,990075.4729128616,-0.00102118106461202,-0.047979932518983935
2023-01-31,983543.039248826,-0.006597914848669895,-0.05426127985844864
2023-02-01,998294.6813557774,0.014998471361474808,-0.04007664474896771
2023-02-02,983451.0183768779,-0.014869019394894933,-0.054349763735807965
2023-02-03,1017462.5765703241,0.034583886292151256,-0.021645503492701224
2023-02-06,1013138.2694600861,-0.004250089595250195,-0.025803597758773153
2023-02-07,1014641.0024950703,0.001483245752610829,-0.024358625082940052
2023-02-08,1014518.3579155335,-0.00012087485054834701,-0.024476555588321982
2023-02-09,1012402.2522336838,-0.0020858229576027343,-0.026511324784355552
2023-02-10,1016419.7981458985,0.003968329686496297,-0.022648200775029326
2023-02-13,1017186.5139544804,0.000754329864471881,-0.021910955124778628
2023-02-14,1026601.7691089477,0.009256173794385036,-0.012857592939029537
2023-02-15,1024516.3620092776,-0.002031369088210555,-0.014862843510394918
2023-02-16,1020805.427545905,-0.0036221329409465985,-0.018431141256266378
2023-02-17,1015683.7809194962,-0.0050172603791122095,-0.023355927800611725
2023-02-20,1006145.8063109015,-0.009390693036330666,-0.0325272924883881
2023-02-21,1009918.0630640424,0.003749214805130574,-0.028900029489825844
2023-02-22,990106.0966204505,-0.01961739983487698,-0.047950485890961216
2023-02-23,983389.6960871095,-0.006783515985070876,-0.054408728988498876
2023-02-24,974618.4372870966,-0.008919412960003092,-0.06284284802602466
2023-02-27,977041.3041669696,0.0024859645448707113,-0.060513108573245385
2023-02-28,981150.8709511323,0.0042061341384809214,-0.056561500686559955
2023-03-01,980200.1882732451,-0.0009689464750365362,-0.05747564209488349
2023-03-02,971858.2603762018,-0.008510432865493245,-0.06549693236692711
2023-03-03,991148.8750448762,0.019849205851486085,-0.046947788608633
2023-03-06,998141.3381940611,0.007054907012701062,-0.040224093879017826
2023-03-08,1000134.799296374,0.001997173171807143,-0.03830725518836608
2023-03-09,1000226.7452937312,9.193360477199874e-05,-0.03821884330765245
2023-03-10,974434.4704177914,-0.02578642792476571,-0.0630197437840975
2023-03-13,962105.695190713,-0.012652236349759205,-0.07487463944079904
2023-03-14,959529.4851491235,-0.002677678818935658,-0.07735182802362867
2023-03-15,897525.6222067759,-0.06461902828625565,-0.13697245634683186
2023-03-16,903346.5289322159,0.006485504793866337,-0.13137528707523052
2023-03-17,915424.9103875037,0.013370706665098764,-0.11976116083665783
2023-03-20,909080.1078455761,-0.006930991794009356,-0.1258620890076673
2023-03-21,919383.0843272086,0.011333408786217358,-0.11595512672686112
2023-03-22,917258.5102172153,-0.002310869262455495,-0.1179980388511394
2023-03-23,909895.0489983357,-0.008027683730223223,-0.1250784716446791
2023-03-24,908439.8223169757,-0.0015993346517952922,-0.1264777639625795
2023-03-27,912397.9962566806,0.004357111877382858,-0.1226717298527828
2023-03-28,919819.6523316164,0.00813423101035382,-0.11553533903149121
2023-03-29,924243.5982877429,0.004809579731105407,-0.11128143572521806
2023-03-31,936904.0704155748,0.01369819834433983,-0.09910759255948513
2023-04-03,937486.1610881188,0.0006212916465244689,-0.09854787563232502
2023-04-05,962632.449719623,0.026823103823012673,-0.07436813170893557
2023-04-06,969966.7779824792,0.007619032856198027,-0.06731571209168195
2023-04-10,965368.2474581836,-0.0047409154918279794,-0.07173748948121107
2023-04-11,968191.4440648142,0.002924476347822891,-0.06902280772462818
2023-04-12,980764.5883805662,0.012986217129708821,-0.05693293576293357
2023-04-13,985159.330324679,0.004480934564908612,-0.05270711395776684
2023-04-17,970141.4336066383,-0.015244129813084428,-0.067147769683606
2023-04-18,966037.6659428071,-0.0042300715356263785,-0.07109380135001299
2023-04-19,969588.4048341274,0.003675569821446789,-0.06767954175930022
2023-04-20,973197.4096374944,0.0037222029320620464,-0.06420925581601525
2023-04-21,974769.0260309669,0.0016148998938025905,-0.0626980474426111
2023-04-24,982656.3830663342,0.008091513809669104,-0.05511385574966315
2023-04-25,968686.2069252784,-0.01421674593662381,-0.06854706200150627
2023-04-26,973139.2147814381,0.004596955984636164,-0.06426521384376713
2023-04-27,978494.4205464467,0.005503021236495265,-0.05911584544382202
2023-04-28,982336.2047740389,0.003926219860759916,-0.0554217273895293
2023-05-02,982132.4872498466,-0.00020738065359116042,-0.05561761464907127
