ticker,signal,direction,conviction,current_price,model_signals
INFY.NS,-0.00217,SELL,0.00217,1315.0,"{'rf': 0.0011600198848049298, 'xgb': -0.005500622559338808}"
TCS.NS,-0.000531,SELL,0.000531,2527.39990234375,"{'rf': 0.0017606402891403822, 'xgb': -0.0028223227709531784}"
RELIANCE.NS,0.000123,BUY,0.000123,1424.0,"{'rf': -0.0002754796120289137, 'xgb': 0.0005213805707171559}"
